scope,feature,lower,upper,center,scale
BTC-USDT,spread_bps,0.008150516572359379,0.011897135009457884,0.009937703862143665,0.0010472423906458753
BTC-USDT,depth_depletion,-0.5966721712268843,0.5555631854601617,0.0005951261599969759,0.2115719544251636
BTC-USDT,abs_book_imbalance_10,0.21892112260322513,0.959985186615532,0.5561751963998981,0.17731297459988157
ETH-USDT,spread_bps,0.02231619324412951,0.03661469335939988,0.029146647111430092,0.004051585692487385
ETH-USDT,depth_depletion,-0.4750387828994553,0.476889990834163,0.0001886829644475726,0.18488071455843832
ETH-USDT,abs_book_imbalance_10,0.1412397955054425,0.6522306413160588,0.36595690690802346,0.1106808268600386
XRP-USDT,spread_bps,0.34826459759896056,0.5213438161171775,0.432427675128395,0.03903737155781693
XRP-USDT,depth_depletion,-0.4364322267775712,0.46342807423705534,-0.0004946748275029232,0.16671697382209075
XRP-USDT,abs_book_imbalance_10,0.08025383440483645,0.4412134870923297,0.21526761176623946,0.07471463990916105
SOL-USDT,spread_bps,0.443072011306329,0.7944136871932813,0.6235004990252212,0.10381877286128328
SOL-USDT,depth_depletion,-0.32917092712977514,0.38279595632997776,-0.0007198227147656935,0.12350236304728858
SOL-USDT,abs_book_imbalance_10,0.056355834866299866,0.4376556229232726,0.17422529034505854,0.07717405878091262
DOGE-USDT,spread_bps,0.39674510369852706,0.7387925251300506,0.5843306564487082,0.08500043354796452
DOGE-USDT,depth_depletion,-0.3818024767943859,0.4015946736768677,-0.0013083590768470919,0.13226521979808706
DOGE-USDT,abs_book_imbalance_10,0.06758453970897632,0.5388003215520949,0.2096247010329777,0.0935431567887646
ADA-USDT,spread_bps,1.2147568814689,2.759306155867097,1.8894522270498528,0.3987559652540997
ADA-USDT,depth_depletion,-0.42287964389902244,0.4638064963989055,-0.0005258817783679944,0.1503115379574319
ADA-USDT,abs_book_imbalance_10,0.040754663723846264,0.46806851681282396,0.1787057448501127,0.09209874350121881
AVAX-USDT,spread_bps,0.35253348223551273,2.242267915377723,0.788772246444279,0.3823400770062241
AVAX-USDT,depth_depletion,-0.4549310162394045,0.5064831582140034,-0.000797806144643179,0.1488084855134129
AVAX-USDT,abs_book_imbalance_10,0.0598192452339336,0.596843368288075,0.2102619545508019,0.10866342052923075
cross_asset,common_spread,,,-4.2333583214156034e-17,0.8767519083145382
cross_asset,common_depth_depletion,,,3.927432036469554e-18,0.5262614577782094
cross_asset,common_abs_imbalance,,,-2.645848950884752e-17,0.38970155070900053
cross_asset,liquidity_stress,,,0.0,0.5468922953150143
cross_asset,common_flow,,,0.060973060305423044,0.5498556676685917
