term,coefficient
intercept,0.00038885960244167345
absolute_common_flow,0.00023862525992572652
aligned_local_flow,7.764280469658716e-05
spread_bps,0.00011118435401576036
log_top10_depth,-0.00017945792280032788
aligned_book_imbalance,1.2303258006673857e-05
utc_hour_sin,-6.743205515879524e-05
utc_hour_cos,-1.87784145987545e-05
asset_ETH-USDT,1.258048475745725e-05
asset_XRP-USDT,4.3897410022153095e-05
asset_SOL-USDT,0.0002714947189337389
asset_DOGE-USDT,0.00026533540320557863
asset_ADA-USDT,0.00011816645738719823
asset_AVAX-USDT,-0.00018592610117556597
