horizon_minutes,result_type,cost_bps,capacity_quote,event_count,mean_net_return,median_net_return,win_rate,t_stat
1,midpoint,4,0,9896,-0.0003855181048028539,-0.0003855697408613631,0.041936135812449475,-164.39287728010436
1,midpoint,8,0,9896,-0.000785518104802854,-0.0007855697408613631,0.0050525464834276475,-334.9611335898012
1,midpoint,12,0,9896,-0.0011855181048028535,-0.001185569740861363,0.0012126111560226355,-505.52938989949774
1,top10_sweep,4,10000,8870,-0.0006720178391552143,-0.0006680583178997775,0.009808342728297632,-256.8199773829309
1,top10_sweep,8,10000,8870,-0.0010720178391552145,-0.0010680583178997775,0.0016910935738444193,-409.6849535304549
1,top10_sweep,12,10000,8870,-0.0014720178391552138,-0.0014680583178997774,0.00045095828635851183,-562.5499296779784
1,top10_sweep,4,50000,1459,-0.0009961340634870224,-0.0009981673288428524,0.0027416038382453737,-137.8426177353524
1,top10_sweep,8,50000,1459,-0.0013961340634870223,-0.0013981673288428523,0.0013708019191226869,-193.1936483999707
1,top10_sweep,12,50000,1459,-0.0017961340634870223,-0.0017981673288428523,0.0,-248.54467906458896
1,top10_sweep,4,100000,177,-0.0013831280091801082,-0.001347353620978586,0.0,-55.72463856196282
1,top10_sweep,8,100000,177,-0.0017831280091801082,-0.001747353620978586,0.0,-71.8401790447256
1,top10_sweep,12,100000,177,-0.002183128009180108,-0.0021473536209785857,0.0,-87.95571952748838
1,bootstrap_draw,8,10000,8870,-0.0010824426098751355,,,
1,bootstrap_draw,8,10000,8870,-0.0010709016412760342,,,
1,bootstrap_draw,8,10000,8870,-0.0010673052649050432,,,
1,bootstrap_draw,8,10000,8870,-0.001062676918879848,,,
1,bootstrap_draw,8,10000,8870,-0.0010698197715693961,,,
1,bootstrap_draw,8,10000,8870,-0.001065854805166486,,,
1,bootstrap_draw,8,10000,8870,-0.0010623541216165395,,,
1,bootstrap_draw,8,10000,8870,-0.001075792286256655,,,
1,bootstrap_draw,8,10000,8870,-0.0010734215016881957,,,
1,bootstrap_draw,8,10000,8870,-0.001074777127020601,,,
1,bootstrap_draw,8,10000,8870,-0.0010720704015802394,,,
1,bootstrap_draw,8,10000,8870,-0.0010747477342730371,,,
1,bootstrap_draw,8,10000,8870,-0.0010723026260133484,,,
1,bootstrap_draw,8,10000,8870,-0.0010749643738018893,,,
1,bootstrap_draw,8,10000,8870,-0.0010746675979279746,,,
1,bootstrap_draw,8,10000,8870,-0.0010742501519062704,,,
1,bootstrap_draw,8,10000,8870,-0.0010730817112741904,,,
1,bootstrap_draw,8,10000,8870,-0.001064583011672423,,,
1,bootstrap_draw,8,10000,8870,-0.0010717049049031925,,,
1,bootstrap_draw,8,10000,8870,-0.0010752521158598064,,,
1,bootstrap_draw,8,10000,8870,-0.001065135035931405,,,
1,bootstrap_draw,8,10000,8870,-0.0010667812661061917,,,
1,bootstrap_draw,8,10000,8870,-0.0010685812007185432,,,
1,bootstrap_draw,8,10000,8870,-0.001069260234610412,,,
1,bootstrap_draw,8,10000,8870,-0.0010692454700659282,,,
1,bootstrap_draw,8,10000,8870,-0.0010734923302569838,,,
1,bootstrap_draw,8,10000,8870,-0.0010730451981127286,,,
1,bootstrap_draw,8,10000,8870,-0.0010765336165416029,,,
1,bootstrap_draw,8,10000,8870,-0.0010770502524868751,,,
1,bootstrap_draw,8,10000,8870,-0.0010724273839434275,,,
1,bootstrap_draw,8,10000,8870,-0.0010752041581050882,,,
1,bootstrap_draw,8,10000,8870,-0.001075793187838416,,,
1,bootstrap_draw,8,10000,8870,-0.0010695287333571915,,,
1,bootstrap_draw,8,10000,8870,-0.0010662516022312222,,,
1,bootstrap_draw,8,10000,8870,-0.0010676809755546524,,,
1,bootstrap_draw,8,10000,8870,-0.0010745928510630626,,,
1,bootstrap_draw,8,10000,8870,-0.001074550903703737,,,
1,bootstrap_draw,8,10000,8870,-0.0010708788077455178,,,
1,bootstrap_draw,8,10000,8870,-0.0010757832234753546,,,
1,bootstrap_draw,8,10000,8870,-0.001074226814230629,,,
1,bootstrap_draw,8,10000,8870,-0.0010738602622188708,,,
1,bootstrap_draw,8,10000,8870,-0.001063029409345886,,,
1,bootstrap_draw,8,10000,8870,-0.0010629619580704022,,,
1,bootstrap_draw,8,10000,8870,-0.0010721565961218235,,,
1,bootstrap_draw,8,10000,8870,-0.0010812665311580923,,,
1,bootstrap_draw,8,10000,8870,-0.001076704977724297,,,
1,bootstrap_draw,8,10000,8870,-0.0010723200175448624,,,
1,bootstrap_draw,8,10000,8870,-0.0010709383187802151,,,
